Entity,Code,Year,Buildings (tonnes),Industry (tonnes),Other fuel combustion (tonnes),Transport (tonnes),Manufacturing & Construction (tonnes),Electricity & Heat (tonnes),Total
Albania,ALB,2016,300000,1100000,300000,2300000,600000,100000,4700000
Algeria,DZA,2016,20700000,9160000,3300000,45100000,10900000,47800000,136960000
Argentina,ARG,2016,28800000,4340000,11600000,46500000,30000000,73800000,195040000
Armenia,ARM,2016,1400000,270000,300000,1600000,400000,1200000,5170000
Australia,AUS,2016,14700000,2930000,7200000,96100000,38700000,235700000,395330000
Austria,AUT,2016,7700000,1730000,700000,23500000,11500000,19400000,64530000
Azerbaijan,AZE,2016,6700000,1270000,1000000,6500000,2800000,14300000,32570000
Bangladesh,BGD,2016,9000000,6870000,3100000,9800000,15100000,36300000,80170000
Belarus,BLR,2016,4900000,2190000,2000000,10800000,4500000,30900000,55290000
Belgium,BEL,2016,22500000,2440000,1700000,26000000,19200000,22200000,94040000
Bolivia,BOL,2016,1600000,1450000,2600000,8200000,2100000,5600000,21550000
Brazil,BRA,2016,20400000,20530000,16400000,198500000,85700000,95800000,437330000
Bulgaria,BGR,2016,1100000,1200000,400000,9100000,3700000,26100000,41600000
Cambodia,KHM,2016,400000,570000,100000,5000000,700000,3000000,9770000
Cameroon,CMR,2016,500000,620000,100000,3200000,200000,2200000,6820000
Canada,CAN,2016,73400000,6200000,17500000,172400000,64000000,213400000,546900000
Chile,CHL,2016,5900000,930000,800000,26400000,15000000,37100000,86130000
China,CHN,2016,525100000,756400000,201700000,843500000,2842400000,4644100000,9813200000
Colombia,COL,2016,4700000,5910000,7200000,31500000,14700000,28000000,92010000
Costa Rica,CRI,2016,300000,620000,300000,5700000,1100000,100000,8120000
Croatia,HRV,2016,2100000,1080000,700000,6100000,2200000,4900000,17080000
Cuba,CUB,2016,600000,590000,3000000,1500000,6500000,11700000,23890000
Cyprus,CYP,2016,500000,880000,100000,1900000,600000,3200000,7180000
Czech Republic,CZE,2016,11200000,1700000,1300000,18000000,11700000,59200000,103100000
Denmark,DNK,2016,2800000,1100000,1600000,11800000,3500000,13800000,34600000
Dominican Republic,DOM,2016,1500000,1860000,200000,5900000,3000000,11800000,24260000
Ecuador,ECU,2016,3500000,2450000,2500000,16700000,3200000,9200000,37550000
Egypt,EGY,2016,16700000,20900000,3100000,56000000,28600000,100400000,225700000
Estonia,EST,2016,500000,190000,300000,2400000,600000,12600000,16590000
European Union (27),,2016,460400000,55830000,59500000,789000000,355400000,1157500000,2877630000
Finland,FIN,2016,2000000,550000,2100000,12400000,7500000,21700000,46250000
